,Adress,Område,Pris,Antal rum,Boarea,Balkong,Uteplats,Våning,Har hiss,Byggår,Förening,Avgift,Driftkostnad,Pris/m2,Prisindex,Storleksindex,Funktionsindex,Totalindex,Länk
66,"Fyrgränd 4, vån 3","Haga Norra, Solna kommun",1900000,1.0,23.0,Nej,Nej,"3 av 5, hiss finns",True,,BRF NORDAN 10,882,3256,82609,2076.4,6350.0,4000,12426.4,"https://www.hemnet.se/bostad/lagenhet-1rum-haga-norra-solna-kommun-fyrgrand-4,-van-3-18436600"
55,"Råsundavägen 64, 3,5tr","Råsunda/Vasalund, Solna kommun",1795000,1.0,22.0,Nej,Nej,"3 av 5, hiss finns",True,,BRF Kärven,1168,3149,81591,2028.6,6400.0,4000,12428.6,"https://www.hemnet.se/bostad/lagenhet-1rum-rasunda-vasalund-solna-kommun-rasundavagen-64,-3,5tr-18964077"
72,"Karolinagatan 1, vån 2","Gamla Huvudsta, Solna kommun",1695000,1.0,19.0,Nej,Nej,"2 av 3, hiss finns ej",False,,BRF Stenbrottet 1,921,-1,89211,1879.2,6550.0,4000,12429.2,"https://www.hemnet.se/bostad/lagenhet-1rum-gamla-huvudsta-solna-kommun-karolinagatan-1,-van-2-18521397"
107,Trädgårdsgatan 23,"Centrala Sundbyberg/Lilla Alby, Sundbybergs kommun",1995000,1.0,27.0,Nej,Nej,"1 av 8, hiss finns",True,,BRF Sjöboden,1429,-1,73889,2280.8,6150.0,4000,12430.8,https://www.hemnet.se/bostad/lagenhet-1rum-centrala-sundbyberg-lilla-alby-sundbybergs-kommun-tradgardsgatan-23-19039623
29,Täppgränd 5,"Gamla Enskede, Stockholms kommun",2095000,1.0,27.0,Nej,Nej,?,False,,BRF Dalen 10,1001,-1,77593,2295.2,6150.0,4000,12445.2,https://www.hemnet.se/bostad/lagenhet-1rum-gamla-enskede-stockholms-kommun-tappgrand-5-19018432
165,Centralvägen 15,"Solna, Solna kommun",1695000,1.0,19.0,Nej,Nej,"4 av 6, hiss finns",True,,BRF Diamanten i Solna,1068,-1,89211,1908.6,6550.0,4000,12458.6,https://www.hemnet.se/bostad/lagenhet-1rum-solna-solna-kommun-centralvagen-15-19094637
5,Trädgårdsgatan 20B,Sundbybergs kommun,2100000,1.0,32.0,Nej,Nej,"1 av 4, hiss finns ej",False,,BRF Klippan 23,2322,-1,65625,2564.4,5900.0,4000,12464.4,https://www.hemnet.se/bostad/lagenhet-1rum-sundbybergs-kommun-tradgardsgatan-20b-19041398
97,Infanterigatan 9,"Huvudsta, Solna kommun",1580000,1.0,17.0,Nej,Nej,?,False,,HSB BRF Pampas i Solna,1174,-1,92941,1814.8,6650.0,4000,12464.8,https://www.hemnet.se/bostad/lagenhet-1rum-huvudsta-solna-kommun-infanterigatan-9-19019097
139,"Skönviksvägen 329, 2 tr","Stureby - Enskede, Stockholms kommun",1625000,1.0,19.0,Nej,Nej,"2 av 3, hiss finns ej",False,,HSB BRF Stureby i Stockholm,1457,-1,85526,1916.4,6550.0,4000,12466.4,"https://www.hemnet.se/bostad/lagenhet-1rum-stureby-enskede-stockholms-kommun-skonviksvagen-329,-2-tr-19058356"
80,Bangatan 17,"Huvudsta, Solna kommun",2300000,1.0,33.0,Nej,Nej,2 av 4,False,,BRF Puman 5,1587,2200,69697,2617.4,5850.0,4000,12467.4,https://www.hemnet.se/bostad/lagenhet-1rum-huvudsta-solna-kommun-bangatan-17-18594735
129,Rusthållarvägen 189,"Bagarmossen, Stockholms kommun",1795000,1.0,26.0,Nej,Nej,"2 av 3, hiss finns ej",False,,BRF Sanningen,2427,4200,69038,2280.4,6200.0,4000,12480.4,https://www.hemnet.se/bostad/lagenhet-1rum-bagarmossen-stockholms-kommun-rusthallarvagen-189-19094918
186,"Follingbogatan 18, **Accepterat pris**","Beckomberga, Stockholms kommun",1595000,1.0,22.5,Nej,Nej,"2 av 4, hiss finns",True,,Riksbyggen BRF Klockhuset i Beckomberga,2587,1750,70889,2112.4,6375.0,4000,12487.4,"https://www.hemnet.se/bostad/lagenhet-1rum-beckomberga-stockholms-kommun-follingbogatan-18,-accepterat-pris-18821996"
74,Centralvägen 11,"Solna Centrum, Solna kommun",1800000,1.0,20.0,Nej,Nej,?,False,,BRF Diamanten i Solna,958,4620,90000,1991.6,6500.0,4000,12491.6,https://www.hemnet.se/bostad/lagenhet-1rum-solna-centrum-solna-kommun-centralvagen-11-18366276
38,Kolbäcksgränd 29 Accepterat pris !,"Bagarmossen, Stockholms kommun",1900000,1.0,26.0,Nej,Nej,"2 av 3, hiss finns ej",False,,Riksbyggen BRF Friheten,2121,-1,73077,2324.2,6200.0,4000,12524.2,https://www.hemnet.se/bostad/lagenhet-1rum-bagarmossen-stockholms-kommun-kolbacksgrand-29-accepterat-pris-19022748
111,Fogdevreten 14,"Karolinska, Solna kommun",2295000,1.0,34.0,Nej,Nej,"2 av 5, hiss finns",True,,BRF Tomteboda 1 i Solna,2149,3900,67500,2724.8,5800.0,4000,12524.8,https://www.hemnet.se/bostad/lagenhet-1rum-karolinska-solna-kommun-fogdevreten-14-19039937
69,Brunnsgatan 2 B,"Centrala Sundbyberg, Sundbybergs kommun",1995000,1.0,24.0,Nej,Nej,2 av 3,False,,BRF Brunnsgatan 2,1209,10028,83125,2236.8,6300.0,4000,12536.8,https://www.hemnet.se/bostad/lagenhet-1rum-centrala-sundbyberg-sundbybergs-kommun-brunnsgatan-2-b-18516735
57,Vasavägen 31,"Råsunda - Vasalund, Solna kommun",2450000,1.0,36.0,Nej,Nej,"1 av 3, hiss finns ej",False,,BRF Framnäs 2,2088,-1,68056,2867.6,5700.0,4000,12567.6,https://www.hemnet.se/bostad/lagenhet-1rum-rasunda-vasalund-solna-kommun-vasavagen-31-18746204
37,Uppfartsvägen 2,"Gamla Råsunda, Solna kommun",2295000,1.0,34.0,Nej,Nej,?,False,,BRF Uppfarten 2,2377,-1,67500,2770.4,5800.0,4000,12570.4,https://www.hemnet.se/bostad/lagenhet-1rum-gamla-rasunda-solna-kommun-uppfartsvagen-2-18966139
125,Skönviksvägen 299,"Stureby/Enskede, Stockholms kommun",1895000,1.0,23.0,Nej,Nej,"1 av 3, hiss finns ej",False,,HSB BRF Stureby i Stockholm,1721,3600,82391,2239.2,6350.0,4000,12589.2,https://www.hemnet.se/bostad/lagenhet-1rum-stureby-enskede-stockholms-kommun-skonviksvagen-299-19073378
234,Mariehällsvägen,"Mariehäll, Stockholms kommun",1995000,1.0,26.0,Nej,Nej,?,False,,BRF Nivå i Mariehäll,2162,-1,76731,2427.4,6200.0,4000,12627.4,https://www.hemnet.se/bostad/lagenhet-1rum-mariehall-stockholms-kommun-mariehallsvagen-18584577
82,Mariagatan 10,"Centrala Sundbyberg, Sundbybergs kommun",2295000,1.0,31.0,Nej,Nej,"2 av 4, hiss finns",True,,BRF Mariahöjden,1971,-1,74032,2689.2,5950.0,4000,12639.2,https://www.hemnet.se/bostad/lagenhet-1rum-centrala-sundbyberg-sundbybergs-kommun-mariagatan-10-18994200
22,Skönviksvägen 321,"Stureby, Stockholms kommun",1895000,1.0,20.0,Nej,Nej,"1 av 3, hiss finns ej",False,,HSB BRF Stureby i Stockholm,1377,2400,94750,2170.4,6500.0,4000,12670.4,https://www.hemnet.se/bostad/lagenhet-1rum-stureby-stockholms-kommun-skonviksvagen-321-18878861
52,"Olof Af Acrels Väg 3, 5tr, Accepterat pris!","Hagastaden/Karolinska, Solna kommun",2100000,1.0,26.0,Nej,Nej,"5 av 6, hiss finns",True,,BRF Haga 4:37,2078,1149,80769,2515.6,6200.0,4000,12715.6,"https://www.hemnet.se/bostad/lagenhet-1rum-hagastaden-karolinska-solna-kommun-olof-af-acrels-vag-3,-5tr,-accepterat-pris-18935900"
94,"Råsundavägen 162, 4tr","Råsunda, Solna kommun",1800000,1.0,17.0,Nej,Nej,"4, hiss finns",True,,HSB BRF Klinten i Solna,1426,3600,105882,2085.2,6650.0,4000,12735.2,"https://www.hemnet.se/bostad/lagenhet-1rum-rasunda-solna-kommun-rasundavagen-162,-4tr-18687614"
56,Trädgårdsgatan 3 - ACCEPTERAT PRIS,"Lilla Alby, Sundbybergs kommun",2100000,1.0,24.0,Nej,Nej,"2 av 3, hiss finns ej",False,,BRF Växthuset 3,1678,-1,87500,2435.6,6300.0,4000,12735.6,https://www.hemnet.se/bostad/lagenhet-1rum-lilla-alby-sundbybergs-kommun-tradgardsgatan-3-accepterat-pris-18976876
54,Friluftsvägen 5a Accepterat Pris,"Centrala Sundbyberg, Sundbybergs kommun",2000000,1.0,20.0,Nej,Nej,"2, hiss finns ej",False,,BRF Sparven 10,1314,-1,100000,2262.8,6500.0,4000,12762.8,https://www.hemnet.se/bostad/lagenhet-1rum-centrala-sundbyberg-sundbybergs-kommun-friluftsvagen-5a-accepterat-pris-18453531
41,Vintervägen 28,"Gamla Råsunda, Solna kommun",2450000,1.0,30.0,Nej,Nej,"1, hiss finns ej",False,,BRF Almen 10,1597,8460,81667,2769.4,6000.0,4000,12769.4,https://www.hemnet.se/bostad/lagenhet-1rum-gamla-rasunda-solna-kommun-vintervagen-28-18966659
59,Vasagatan 17 A-D,"Centrala Sundbyberg, Sundbybergs kommun",1900000,1.0,19.0,Nej,Nej,"4, hiss finns",True,,BRF T2 Fabriksp,1771,-1,100000,2254.2,6550.0,4000,12804.2,https://www.hemnet.se/bostad/lagenhet-1rum-centrala-sundbyberg-sundbybergs-kommun-vasagatan-17-a-d-18770949
45,"Forsskålsgatan 16 , Accepterat pris",Stockholms kommun,2000000,1.0,20.0,Nej,Nej,"2 av 3, hiss finns ej",False,,BRF Forsskaolea,1857,-1,100000,2371.4,6500.0,4000,12871.4,"https://www.hemnet.se/bostad/lagenhet-1rum-stockholms-kommun-forsskalsgatan-16-,-accepterat-pris-18439239"
49,"Triolen, Lidköpingsvägen 2-6, 3:0801","Hammarbyhöjden, Stockholms kommun",2400000,1.0,20.5,Nej,Nej,?,False,,BRF Triolen,1351,4968,117073,2670.2,6475.0,4000,13145.2,"https://www.hemnet.se/bostad/lagenhet-1rum-hammarbyhojden-stockholms-kommun-triolen,-lidkopingsvagen-2-6,-3-0801-18851819"
